lat,long,mag,depth
 Latitude , Longitude , Magnitude , Depth/km 
35.9721,-97.125,4.5,4.0
35.6149,-97.3767,4.1,8.4
35.6062,-97.3287,4.3,11.3
35.6093,-97.3964,4.4,7.6
36.4916,-97.972,4.0,10.0
36.8106,-97.7841,4.3,10.0
35.5204,-97.2139,4.5,9.1
35.8171,-97.4433,4.3,9.3
36.7221,-97.7379,4.1,10.0
36.1046,-96.8911,4.1,4.0
36.5816,-97.6088,4.4,10.0
36.3595,-97.1248,4.0,10.0
36.6092,-97.7748,4.3,10.0
35.6072,-97.3727,4.0,8.1
35.7895,-97.4617,4.3,10.8
35.7685,-97.5027,4.5,2.1
35.7394,-97.4733,4.3,6.9
36.298,-96.9769,4.5,2.1
35.8046,-97.3713,4.1,14.2
35.9346,-97.2223,4.0,10.0
35.916,-97.2619,4.2,0.4
36.1572,-97.6158,4.5,10.0
36.1683,-97.6069,4.2,10.0
36.1314,-97.5743,4.3,10.0
36.1405,-97.4475,4.4,10.2
36.1346,-97.6713,4.2,10.0
36.5586,-97.8144,4.2,10.0
35.9056,-97.2338,4.0,4.0
36.6139,-97.7034,4.0,10.0
35.4942,-97.2931,4.1,8.0
36.1061,-96.907,4.2,4.0
36.5042,-97.0278,4.0,10.0
35.738,-97.0246,4.1,10.0
36.4823,-97.1089,4.3,3.9
36.4903,-97.1039,4.0,0.6
36.6664,-97.7156,4.2,10.0
35.8255,-96.9423,4.0,4.0
35.8482,-97.4547,4.6,4.8
35.7461,-97.4446,4.1,8.2
35.734,-97.3974,4.2,13.3
36.0227,-97.2929,4.2,10.0
36.7307,-98.2355,4.0,2.7
36.8244,-97.7443,4.3,3.7
35.5519,-96.7554,4.2,8.6
36.4579,-97.06,4.1,10.0
35.6715,-97.379,4.7,12.7
36.1492,-96.9489,4.6,10.0
36.5642,-97.8278,4.2,7.4
35.7086,-97.4244,4.0,6.6
35.5871,-97.3734,4.0,5.8
35.6104,-97.3774,4.9,5.6
36.6816,-98.053,4.0,3.7
36.5397,-98.0722,4.4,10.0
34.0248,-97.231,4.2,10.0
34.0338,-97.195,4.1,10.0
35.403,-96.5724,4.2,1.0
36.8909,-98.0308,4.2,6.4
35.3852,-96.5777,4.1,7.1
36.6386,-97.3749,4.0,10.0
36.6407,-97.6966,4.0,10.0
35.6362,-97.0636,4.2,13.7
35.5586,-97.3063,4.1,10.6
35.4611,-96.969,4.1,3.0
35.6459,-97.2743,4.4,9.2
34.175,-96.8261,4.1,10.0
35.7099,-97.1086,4.2,11.8
35.6354,-97.1321,4.0,7.0
35.7114,-97.0706,4.2,8.4
35.6626,-97.0921,4.4,9.9
35.6003,-97.3383,4.0,6.4
35.4568,-96.532,4.7,1.0
35.5433,-96.787,4.0,10.0
35.422,-96.537,4.6,3.3
35.375,-96.537,4.5,2.5
35.72,-97.159,4.4,5.0
34.6978,-95.8428,4.1,5.2
35.536,-96.75,4.0,3.6
